,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FGA_1,FG%_1,3PTA_1,3PT%_1,FTA_1,FT%_1,ORebounds_1,DRebounds_1,Assits_1,Turnovers_1,Steals_1,Blocks_1,Fouls_1,FGA_2,FG%_2,3PTA_2,3PT%_2,FTA_2,FT%_2,ORebounds_2,DRebounds_2,Assits_2,Turnovers_2,Steals_2,Blocks_2,Fouls_2,Winner (first team = 1 sec team = 0),FG Diff,FG% Diff,3pt Diff,3P% Diff,FT Diff,FT% Diff,Assist Diff,Turnover Diff,O Rebounds Diff,D Rebounds Diff,Steals Diff,Blocks Diff,Foul Diff,Winner (first team = 1 sec team = 0)
,,88,37.5,31,19.4,24,79.2,10,33,15,13,9,7,26,81,40.7,30,36.7,24,79.2,10,41,17,18,1,1,21,0,7,-3.2,1,-17.3,0,0,-2,-5,0,-8,8,6,5,0
,,89,52.8,29,51.7,23,87,10,25,20,12,4,3,24,85,55.3,35,34.3,35,88.6,8,33,29,11,4,0,18,0,4,-2.5,-6,17.4,-12,-1.6,-9,1,2,-8,0,3,6,0
,,92,42.4,26,34.6,16,93.8,19,30,21,19,6,3,22,87,48.3,29,24.1,26,65.4,11,32,25,13,7,7,18,0,5,-5.9,-3,10.5,-10,28.4,-4,6,8,-2,-1,-4,4,0
,,83,50.6,39,33.3,20,65,7,23,28,16,7,4,17,96,56.3,35,45.7,21,76.2,17,34,31,14,9,1,19,0,-13,-5.7,4,-12.4,-1,-11.2,-3,2,-10,-11,-2,3,-2,0
Golden State Warriors,Win,88,50,38,36.8,21,66.7,8,40,28,15,5,4,21,91,40.7,40,35,29,86.2,9,34,24,11,9,0,20,1,-3,9.3,-2,1.8,-8,-19.5,4,4,-1,6,-4,4,1,1
,,82,48.8,36,41.7,14,78.6,8,36,29,15,5,3,27,92,40.2,30,26.7,26,73.1,14,32,25,13,6,3,17,1,-10,8.6,6,15,-12,5.5,4,2,-6,4,-1,0,10,1
,,88,53.4,45,51.1,16,93.8,5,35,35,13,9,3,17,100,36,40,25,19,68.4,22,31,18,19,6,6,17,1,-12,17.4,5,26.1,-3,25.4,17,-6,-17,4,3,-3,0,1
,,91,45.1,50,36,20,55,12,39,32,18,8,3,26,87,34.5,34,26.5,34,94.1,13,32,16,16,8,7,16,1,4,10.6,16,9.5,-14,-39.1,16,2,-1,7,0,-4,10,1
,,86,53.5,47,51.1,15,73.3,8,32,38,17,8,5,22,90,45.6,45,33.3,27,85.2,12,33,24,14,13,1,12,1,-4,7.9,2,17.8,-12,-11.9,14,3,-4,-1,-5,4,10,1
,Lose,74,37.8,43,23.3,19,89.5,4,30,17,27,9,5,20,91,53.8,42,35.7,21,71.4,11,39,30,14,15,5,16,0,-17,-16,1,-12.4,-2,18.1,-13,13,-7,-9,-6,0,4,0
,,88,47.7,43,25.6,23,78.3,10,40,27,18,6,3,23,91,46.2,44,34.1,27,63,8,31,21,14,7,4,21,0,-3,1.5,-1,-8.5,-4,15.3,6,4,2,9,-1,-1,2,0
,,94,40.4,44,29.5,19,78.9,12,35,26,12,6,6,19,90,47.8,39,38.5,18,61.1,7,40,26,17,3,8,18,0,4,-7.4,5,-9,1,17.8,0,-5,5,-5,3,-2,1,0
,,98,45.9,42,33.3,25,76,14,28,26,14,8,5,18,86,53.5,35,42.9,21,81,9,31,26,17,6,7,17,0,12,-7.6,7,-9.6,4,-5,0,-3,5,-3,2,-2,1,0
,,95,40,50,40,19,78.9,12,25,25,18,7,2,22,82,54.9,29,41.4,32,81.3,12,43,22,23,8,5,18,0,13,-14.9,21,-1.4,-13,-2.4,3,-5,0,-18,-1,-3,4,0
Houston Rockets,Win,87,52.9,48,50,25,72,14,26,31,22,9,6,23,82,54.9,25,48,31,80.6,11,26,27,20,7,4,25,1,5,-2,23,2,-6,-8.6,4,2,3,0,2,2,-2,1
,,75,46.7,22,45.5,24,87.5,9,47,21,23,1,19,19,102,30.4,55,21.8,19,94.7,13,25,21,6,9,2,19,1,-27,16.3,-33,23.7,5,-7.2,0,17,-4,22,-8,17,0,1
,,87,47.1,35,34.3,41,82.9,22,37,25,22,9,4,29,82,47.6,39,38.5,36,80.6,6,22,14,14,9,6,26,1,5,-0.5,-4,-4.2,5,2.3,11,8,16,15,0,-2,3,1
,,86,52.3,36,50,14,71.4,11,42,25,25,9,3,19,97,39.2,44,22.7,23,82.6,16,25,19,15,12,3,15,1,-11,13.1,-8,27.3,-9,-11.2,6,10,-5,17,-3,0,4,1
,,81,49.4,24,33.3,43,79.1,13,28,19,17,12,2,22,85,52.9,37,45.9,19,73.7,9,28,30,18,9,5,28,1,-4,-3.5,-13,-12.6,24,5.4,-11,-1,4,0,3,-3,-6,1
,Lose,85,45.9,44,36.4,25,76,12,25,25,17,4,2,20,88,56.8,30,40,20,85,13,30,31,14,8,4,22,0,-3,-10.9,14,-3.6,5,-9,-6,3,-1,-5,-4,-2,-2,0
,,88,42,41,29.3,18,77.8,10,29,18,14,5,6,20,83,53,32,53.1,20,75,8,34,30,12,6,8,21,0,5,-11,9,-23.8,-2,2.8,-12,2,2,-5,-1,-2,-1,0
,,91,44,28,10.7,20,90,14,31,17,15,6,4,14,85,52.9,52,48.1,10,50,6,29,34,14,8,5,24,0,6,-8.9,-24,-37.4,10,40,-17,1,8,2,-2,-1,-10,0
,,94,46.8,33,27.3,17,64.7,18,33,22,15,10,4,19,88,44.3,47,34,23,73.9,14,26,21,14,10,6,19,0,6,2.5,-14,-6.7,-6,-9.2,1,1,4,7,0,-2,0,0
,,90,40,29,10.3,29,69,18,33,19,17,7,6,18,85,47.1,36,36.1,19,73.7,10,26,20,14,8,4,20,0,5,-7.1,-7,-25.8,10,-4.7,-1,3,8,7,-1,2,-2,0
